διαπλέω|1277
διαπονέομαι|1278
διαπορεύομαι|1279
διαπορέω|1280
διαπραγματεύομαι|1281
διαπρίω|1282
διαρπάζω|1283
διαρρήσσω|1284
διασαφέω|1285
διασείω|1286
διασκορπίζω|1287
διασπείρω|1289
διασπορά|1290
διασπάω|1288
διαστολή|1293
διαστρέφω|1294
διαστέλλομαι|1291
διασώζω|1295
διαταγή|1296
διαταράσσω|1298
διατελέω|1300
διατηρέω|1301
διατροφή|1305
διατρίβω|1304
διατάσσω|1299
διατίθεμαι|1303
διαυγάζω|1306
διαυγής|1307
διαφεύγω|1309
διαφημίζω|1310
διαφθείρω|1311
διαφθορά|1312
διαφυλάσσω|1314
διαφέρω|1308
διαχειρίζομαι|1315
διαχωρίζομαι|1316
διαίρεσις|1243
διδακτικός|1317
διδακτός|1318
διδασκαλία|1319
διδαχή|1322
διδάσκαλος|1320
διδάσκω|1321
διεγείρω|1326
διερμηνευτής|1328
διερμηνεύω|1329
διερωτάω|1331
διετής|1332
διετία|1333
διηγέομαι|1334
διηνεκής|1336
διθάλασσος|1337
διικνέομαι|1338
διισχυρίζομαι|1340
δικαιοκρισία|1341
δικαιοσύνη|1343
δικαιόω|1344
δικαστής|1348
δικαίωμα|1345
δικαίως|1346
δικαίωσις|1347
διοδεύω|1353
διονύσιος|1354
διοπετής|1356
διορύσσω|1358
διοτρεφής|1361
διπλοῦς|1362
διπλόω|1363
διστάζω|1365
δισχίλιοι|1367
διυλίζω|1368
διχοστασία|1370
διχοτομέω|1371
διχάζω|1369
διψάω|1372
διωγμός|1375
διά|1223
διάβολος|1228
διάγνωσις|1233
διάγω|1236
διάδημα|1238
διάδοχος|1240
διάκονος|1249
διάκρισις|1253
διάλεκτος|1258
διάνοια|1271
διάστημα|1292
διάταγμα|1297
διάφορος|1313
διέξοδος|1327
διέρχομαι|1330
διήγησις|1335
διίστημι|1339
διό|1352
διόπερ|1355
διόρθωσις|1357
διόσκουροι|1359
διότι|1360
διώκτης|1376
διώκω|1377
δογματίζω|1379
δοκιμάζω|1381
δοκιμή|1382
δοκέω|1380
δοκίμιον|1383
δοκός|1385
δολιόω|1387
δολόω|1389
δοξάζω|1392
δορκάς|1393
δουλαγωγέω|1396
δουλεία|1397
δουλεύω|1398
δουλόω|1402
δοχή|1403
δούλη|1399
δοῦλος|1401
